Bevölkerung Population   VZ/RFP 2000;Gde;Kt Ct;PLZ  NPA ;Ortsbezeichnung                             Localité ;BFS-Nr.  No OFS;;Gemeinde                Commune  ;Region Région;Bezirk                                       District 
197;1;BE;4919;Reisiswil;336;;Reisiswil;3;AARWANGEN
3600;1;BE;4914;Roggwil;337;;Roggwil (BE);3;AARWANGEN
1364;1;BE;4938;Rohrbach bei Huttwil;338;;Rohrbach;3;AARWANGEN
436;1;BE;4938;Rohrbachgraben;339;;Rohrbachgraben;3;AARWANGEN
530;1;BE;4933;Rütschelen;340;;Rütschelen;3;AARWANGEN
438;1;BE;4911;Schwarzhäusern;341;;Schwarzhäusern;3;AARWANGEN
2957;1;BE;4922;Thunstetten;342;;Thunstetten;3;AARWANGEN
;;BE;4922;Bützberg;342;;Thunstetten;3;AARWANGEN
;;BE;4922;Forst;342;;Thunstetten;3;AARWANGEN
;;BE;4922;Rengershäusern;342;;Thunstetten;3;AARWANGEN
;;BE;4922;Weissenried;342;;Thunstetten;3;AARWANGEN
167;1;BE;4916;Untersteckholz;343;;Untersteckholz;3;AARWANGEN
900;1;BE;4937;Ursenbach;344;;Ursenbach;3;AARWANGEN
;;BE;4943;Hofen;344;;Ursenbach;3;AARWANGEN
;;BE;4937;Lünschberg;344;;Ursenbach;3;AARWANGEN
;;BE;4937;Ryschberg;344;;Ursenbach;3;AARWANGEN
1584;1;BE;4923;Wynau;345;;Wynau;3;AARWANGEN
;;BE;4923;Aegerten;345;;Wynau;3;AARWANGEN
128634;1;BE;3000;Bern;351;;Bern;1;BERN
;;BE;3001;Bern;351;;Bern;1;BERN
;;BE;3002;Bern;351;;Bern;1;BERN
;;BE;3003;Bern;351;;Bern;1;BERN
;;BE;3004;Bern;351;;Bern;1;BERN
;;BE;3005;Bern;351;;Bern;1;BERN
;;BE;3006;Bern;351;;Bern;1;BERN
;;BE;3007;Bern;351;;Bern;1;BERN
;;BE;3008;Bern;351;;Bern;1;BERN
;;BE;3010;Bern;351;;Bern;1;BERN
;;BE;3011;Bern;351;;Bern;1;BERN
;;BE;3012;Bern;351;;Bern;1;BERN
;;BE;3013;Bern;351;;Bern;1;BERN
;;BE;3014;Bern;351;;Bern;1;BERN
;;BE;3015;Bern;351;;Bern;1;BERN
;;BE;3018;Bern;351;;Bern;1;BERN
;;BE;3019;Bern;351;;Bern;1;BERN
;;BE;3020;Bern;351;;Bern;1;BERN
;;BE;3024;Bern;351;;Bern;1;BERN
;;BE;3030;Bern;351;;Bern;1;BERN
;;BE;3040;Bern;351;;Bern;1;BERN
;;BE;3050;Bern;351;;Bern;1;BERN
;;BE;3000;Bern 1-65;351;;Bern;1;BERN
;;BE;3000;Berna;351;;Bern;1;BERN
;;BE;3000;Berne;351;;Bern;1;BERN
;;BE;3027;Bethlehem bei Bern;351;;Bern;1;BERN
;;BE;3018;Bümpliz;351;;Bern;1;BERN
;;BE;3032;Eymatt;351;;Bern;1;BERN
;;BE;3004;Felsenau;351;;Bern;1;BERN
;;BE;3027;Gäbelbach;351;;Bern;1;BERN
;;BE;3019;Matzenried;351;;Bern;1;BERN
;;BE;3037;Neubrück *;351;;Bern;1;BERN
;;BE;3018;Niederbottigen;351;;Bern;1;BERN
;;BE;3019;Oberbottigen;351;;Bern;1;BERN
;;BE;3020;Riedbach;351;;Bern;1;BERN
;;BE;3027;Riedern bei Bern;351;;Bern;1;BERN
;;BE;3004;Tiefenau;351;;Bern;1;BERN
;;BE;3072;Waldau;351;;Bern;1;BERN
5893;1;BE;3065;Bolligen;352;;Bolligen;1;BERN
;;BE;3065;Bantigen;352;;Bolligen;1;BERN
;;BE;3066;Ferenberg bei Stettlen;352;;Bolligen;1;BERN
;;BE;3065;Flugbrunnen;352;;Bolligen;1;BERN
;;BE;3065;Geristein;352;;Bolligen;1;BERN
;;BE;3065;Habstetten;352;;Bolligen;1;BERN
3802;1;BE;3047;Bremgarten bei Bern;353;;Bremgarten bei Bern;1;BERN
;;BE;3037;Neubrück *;353;;Bremgarten bei Bern;1;BERN
;;BE;3047;Seftau;353;;Bremgarten bei Bern;1;BERN
;;BE;3047;Stuckishaus *;353;;Bremgarten bei Bern;1;BERN
10991;1;BE;3063;Ittigen;362;;Ittigen;1;BERN
;;BE;3063;Eyfeld;362;;Ittigen;1;BERN
;;BE;3063;Kappelisacker;362;;Ittigen;1;BERN
;;BE;3063;Papiermühle;362;;Ittigen;1;BERN
;;BE;3048;Worblaufen;362;;Ittigen;1;BERN
2736;1;BE;3038;Kirchlindach;354;;Kirchlindach;1;BERN
;;BE;3037;Herrenschwanden;354;;Kirchlindach;1;BERN
;;BE;3038;Jetzikofen;354;;Kirchlindach;1;BERN
;;BE;3038;Niederlindach;354;;Kirchlindach;1;BERN
;;BE;3038;Oberlindach;354;;Kirchlindach;1;BERN
;;BE;3042;Ortschwaben *;354;;Kirchlindach;1;BERN
;;BE;3037;Stuckishaus *;354;;Kirchlindach;1;BERN
37782;1;BE;3098;Köniz;355;;Köniz;1;BERN
;;BE;3144;Gasel;355;;Köniz;1;BERN
;;BE;3084;Gurten;355;;Köniz;1;BERN
;;BE;3174;Halen;355;;Köniz;1;BERN
;;BE;3172;Herzwil;355;;Köniz;1;BERN
;;BE;3097;Liebefeld;355;;Köniz;1;BERN
;;BE;3173;Liebewil;355;;Köniz;1;BERN
;;BE;3144;Mengestorf;355;;Köniz;1;BERN
;;BE;3147;Mittelhäusern;355;;Köniz;1;BERN
;;BE;3145;Niederscherli;355;;Köniz;1;BERN
;;BE;3172;Niederwangen;355;;Köniz;1;BERN
;;BE;3145;Oberried bei Niederscherli;355;;Köniz;1;BERN
;;BE;3145;Oberscherli;355;;Köniz;1;BERN
;;BE;3144;Oberulmiz;355;;Köniz;1;BERN
;;BE;3173;Oberwangen bei Bern;355;;Köniz;1;BERN
;;BE;3144;Schlatt;355;;Köniz;1;BERN
;;BE;3098;Schliern bei Köniz;355;;Köniz;1;BERN
;;BE;3095;Spiegel bei Bern;355;;Köniz;1;BERN
;;BE;3174;Thörishaus *;355;;Köniz;1;BERN
;;BE;3084;Wabern;355;;Köniz;1;BERN
