"C_ID";"G_ID";"JAHR";"B"
"TG";"0261";2007;10945.18
"UR";"0261";2007;1.58
"ZG";"0261";2007;8.16
"ZH";"0261";2007;816.13
"AG";"0263";2007;315.69
"AI";"0263";2007;1
"AR";"0263";2007;24.58
"BE";"0263";2007;748.64
"BL";"0263";2007;50.08
"BS";"0263";2007;44.83
"FR";"0263";2007;2332.34
"GE";"0263";2007;1724.14
"GL";"0263";2007;90.51
"GR";"0263";2007;44.16
"JU";"0263";2007;255.75
"LU";"0263";2007;5291.58
"NE";"0263";2007;264.55
"NW";"0263";2007;282.07
"OW";"0263";2007;284.99
"SG";"0263";2007;90.02
"SH";"0263";2007;101.01
"SO";"0263";2007;104.5
"SZ";"0263";2007;80.74
"TG";"0263";2007;189.16
"TI";"0263";2007;471.8
"UR";"0263";2007;187.07
"VD";"0263";2007;51197.48
"VS";"0263";2007;2645.97
"ZG";"0263";2007;1897.31
"ZH";"0263";2007;707.67
"AG";"0290";2007;88045.1666666665
"AI";"0290";2007;1226.91666666666
"AR";"0290";2007;1788.83333333333
"BE";"0290";2007;29937.0833333333
"BL";"0290";2007;18829.1666666666
"BS";"0290";2007;7072.25
"FR";"0290";2007;16466
"GE";"0290";2007;9254.33333333333
"GL";"0290";2007;3598.41666666666
"GR";"0290";2007;6497.33333333333
"JU";"0290";2007;5189.16666666667
"LU";"0290";2007;93318.0833333332
"NE";"0290";2007;1701.66666666667
"NW";"0290";2007;11445.4166666666
"OW";"0290";2007;9209.83333333333
"SG";"0290";2007;34815.5833333333
"SH";"0290";2007;4394.25
"SO";"0290";2007;12786.5833333333
"SZ";"0290";2007;23779.5833333334
"TG";"0290";2007;14474.4166666666
"TI";"0290";2007;14014.1666666666
"UR";"0290";2007;9449.66666666666
"VD";"0290";2007;6152.83333333332
"VS";"0290";2007;9170.74999999999
"ZG";"0290";2007;19502.9166666666
"ZH";"0290";2007;72153.3333333332
"LU";"0294";2007;6944
"AG";"0312";2007;19089.5
"AI";"0312";2007;69.1666666666666
"AR";"0312";2007;1175.16666666667
"BE";"0312";2007;17801.5833333333
"BL";"0312";2007;9061
"BS";"0312";2007;2906.16666666667
"FR";"0312";2007;3966.66666666667
"GE";"0312";2007;1815
"GL";"0312";2007;1340
"GR";"0312";2007;1266.91666666667
"JU";"0312";2007;928.666666666667
"LU";"0312";2007;7684.83333333333
"NE";"0312";2007;1860.08333333333
"NW";"0312";2007;457.25
"OW";"0312";2007;450.666666666666
"SG";"0312";2007;9347.66666666666
"SH";"0312";2007;2983.66666666667
"SO";"0312";2007;11562
"SZ";"0312";2007;3350.33333333333
"TG";"0312";2007;7538.41666666667
"TI";"0312";2007;10994.8333333333
"UR";"0312";2007;1804.16666666667
"VD";"0312";2007;10530.6362916667
"VS";"0312";2007;6757.33333333333
"ZG";"0312";2007;1885.58333333334
"ZH";"0312";2007;27955.1666666667
"AG";"0343";2007;11142.19
"AI";"0343";2007;33.92
"AR";"0343";2007;244.24
"BE";"0343";2007;28156.99
"BL";"0343";2007;6506.14
"BS";"0343";2007;7920.27
"FR";"0343";2007;10061.31
"GE";"0343";2007;10317.51
"GL";"0343";2007;2256
"GR";"0343";2007;508.98
"JU";"0343";2007;173.38
"LU";"0343";2007;242.57
"NE";"0343";2007;352.25
"NW";"0343";2007;24.81
"OW";"0343";2007;25.58
"SG";"0343";2007;1349.18
"SH";"0343";2007;1252.74
"SO";"0343";2007;1196.14
"SZ";"0343";2007;116.25
"TG";"0343";2007;294.75
"TI";"0343";2007;1344.12
"UR";"0343";2007;5.09
"VD";"0343";2007;2890.11
"VS";"0343";2007;879.3
"ZG";"0343";2007;72.08
"ZH";"0343";2007;2760.81
"AG";"0360";2007;1626
"BE";"0360";2007;1621
"LU";"0360";2007;10675
"NW";"0360";2007;66
"OW";"0360";2007;44
"SO";"0360";2007;515
"SZ";"0360";2007;55
"UR";"0360";2007;6
"ZG";"0360";2007;128
"ZH";"0360";2007;924
"AG";"0376";2007;9585
"AI";"0376";2007;278
"AR";"0376";2007;1343
"BE";"0376";2007;86018
"BL";"0376";2007;7530
"BS";"0376";2007;2601
"FR";"0376";2007;13834
"GE";"0376";2007;15419
"GL";"0376";2007;506
"GR";"0376";2007;8948
"JU";"0376";2007;1055
"LU";"0376";2007;10296
"NE";"0376";2007;1325
"NW";"0376";2007;2870
"OW";"0376";2007;753
"SG";"0376";2007;16863
"SH";"0376";2007;1379
"SO";"0376";2007;8374
"SZ";"0376";2007;2016
"TG";"0376";2007;3800
"TI";"0376";2007;29807
"UR";"0376";2007;1611
"VD";"0376";2007;27703
"VS";"0376";2007;11379
"ZG";"0376";2007;2388
"ZH";"0376";2007;38612
"AG";"0411";2007;6026
"AI";"0411";2007;39
"AR";"0411";2007;154
"BE";"0411";2007;1431
"BL";"0411";2007;268
"BS";"0411";2007;301
"FR";"0411";2007;278
"GE";"0411";2007;89
"GL";"0411";2007;226
"GR";"0411";2007;337
"JU";"0411";2007;31
"LU";"0411";2007;13595
"NE";"0411";2007;21
"NW";"0411";2007;1204
"OW";"0411";2007;848
"SG";"0411";2007;803
"SH";"0411";2007;180
"SO";"0411";2007;531
"SZ";"0411";2007;1739
"TG";"0411";2007;422
"TI";"0411";2007;122
"UR";"0411";2007;1306
"VD";"0411";2007;52
"VS";"0411";2007;151
"ZG";"0411";2007;5017
"ZH";"0411";2007;1427
"AG";"0445";2007;2055.69
"AI";"0445";2007;6.42
"AR";"0445";2007;79.78
"BE";"0445";2007;4115.92
"BL";"0445";2007;8166.4
"BS";"0445";2007;7635.64
"FR";"0445";2007;1842.83
"GE";"0445";2007;1992.22
"GL";"0445";2007;76.01
"GR";"0445";2007;1813.26
"JU";"0445";2007;454.67
"LU";"0445";2007;250.35
"NE";"0445";2007;6767.8
"NW";"0445";2007;34.42
"OW";"0445";2007;20.67
"SG";"0445";2007;831.35
"SH";"0445";2007;162.86
"SO";"0445";2007;786.55
"SZ";"0445";2007;1219.98
"TG";"0445";2007;477.1
"TI";"0445";2007;2367.83
"UR";"0445";2007;25.16
"VD";"0445";2007;2458.95
"VS";"0445";2007;1183.79
"ZG";"0445";2007;123
"ZH";"0445";2007;16572.39
"AG";"0455";2007;400.61
"AI";"0455";2007;59.23
"AR";"0455";2007;272.4
"BE";"0455";2007;215.67
"BL";"0455";2007;86.26
"BS";"0455";2007;43.17
"FR";"0455";2007;14.67
"GE";"0455";2007;17.57
"GL";"0455";2007;2433.27
"GR";"0455";2007;83263.24
"JU";"0455";2007;1
"LU";"0455";2007;241.23
"NE";"0455";2007;7.93
"NW";"0455";2007;23.83
"OW";"0455";2007;32.25
"SG";"0455";2007;8760.5
"SH";"0455";2007;3582.58
"SO";"0455";2007;73
"SZ";"0455";2007;2306.91
"TG";"0455";2007;8112.51
"TI";"0455";2007;7335.91
"UR";"0455";2007;23
"VD";"0455";2007;35.01
"VS";"0455";2007;17.74
"ZG";"0455";2007;217.49
"ZH";"0455";2007;26144.12
"AG";"0484";2007;862.11
"AI";"0484";2007;59.42
"AR";"0484";2007;606.23
"BE";"0484";2007;650.8
"BL";"0484";2007;118.24
"BS";"0484";2007;228.67
"FR";"0484";2007;4216.81
"GE";"0484";2007;11.91
"GL";"0484";2007;87.56
"GR";"0484";2007;226.4
"JU";"0484";2007;15.99
"LU";"0484";2007;255.15
"NE";"0484";2007;46.99
"NW";"0484";2007;3.08
"OW";"0484";2007;6.5
"SG";"0484";2007;812.8
"SH";"0484";2007;104.43
"SO";"0484";2007;239.08
"SZ";"0484";2007;105.25
"TG";"0484";2007;549.87
"TI";"0484";2007;2638.3
"UR";"0484";2007;10.67
"VD";"0484";2007;66.59
"VS";"0484";2007;24.39
"ZG";"0484";2007;101.92
"ZH";"0484";2007;9331.56
"AG";"0509";2007;10219.3294
"AI";"0509";2007;27.3332
"AR";"0509";2007;153.3322
"BE";"0509";2007;1098.8238
"BL";"0509";2007;30890.5694
"BS";"0509";2007;67229.5097
"FR";"0509";2007;67.3329
"GE";"0509";2007;70.666
"GL";"0509";2007;53.1662
"GR";"0509";2007;175.0826
"JU";"0509";2007;97.9993
"LU";"0509";2007;2674.3937
"NE";"0509";2007;10.2501
"NW";"0509";2007;547.6622
"OW";"0509";2007;774.9932
"SG";"0509";2007;1125.3241
"SH";"0509";2007;831.7429
"SO";"0509";2007;7130.1057
"SZ";"0509";2007;1154.407
"TG";"0509";2007;1365.9886
"TI";"0509";2007;157.3324
"UR";"0509";2007;784.2431
"VD";"0509";2007;135.3324
"VS";"0509";2007;70.2495
"ZG";"0509";2007;3701.2186
"ZH";"0509";2007;6547.6945
"AG";"0556";2007;18
"AI";"0556";2007;1
"AR";"0556";2007;5.25
"BE";"0556";2007;15.16
"BL";"0556";2007;4.42
"BS";"0556";2007;2
"GE";"0556";2007;4
"GL";"0556";2007;8.59
"GR";"0556";2007;2427.21
"LU";"0556";2007;12
"NW";"0556";2007;6
"OW";"0556";2007;1
"SG";"0556";2007;18.09
"SH";"0556";2007;1.17
"SO";"0556";2007;11.25
"TG";"0556";2007;18.34
"TI";"0556";2007;51
"VD";"0556";2007;9.17
"VS";"0556";2007;0.42
"ZG";"0556";2007;6.92
"ZH";"0556";2007;145.46
"ZH";"0558";2007;2491
"VS";"0591";2007;8458
"VS";"0623";2007;1407.95
"VS";"0627";2007;2696
"AG";"0749";2007;478.66
"AI";"0749";2007;3
"AR";"0749";2007;32.24
"BE";"0749";2007;1795.65
"BL";"0749";2007;397.3
"BS";"0749";2007;126.58
"FR";"0749";2007;5652.26
"GE";"0749";2007;7451.7
"GL";"0749";2007;43.9
"GR";"0749";2007;46.14
"JU";"0749";2007;443.18
"LU";"0749";2007;252.2
"NE";"0749";2007;3041.45
"NW";"0749";2007;14.33
"OW";"0749";2007;2.83
"SG";"0749";2007;362.15
"SH";"0749";2007;66.79
"SO";"0749";2007;166.49
"SZ";"0749";2007;817.9
"TG";"0749";2007;6330.77
"TI";"0749";2007;6342.8
"UR";"0749";2007;26.01
"VD";"0749";2007;16711.06
"VS";"0749";2007;2007.16
"ZG";"0749";2007;112.92
"ZH";"0749";2007;10794.27
"VS";"0758";2007;1486
"AG";"0762";2007;1694.08333333333
"AI";"0762";2007;190.5
"AR";"0762";2007;334.166666666667
"BE";"0762";2007;10244.1666666667
"BL";"0762";2007;345.416666666667
"BS";"0762";2007;645
"FR";"0762";2007;282.416666666666
"GE";"0762";2007;996.25
"GL";"0762";2007;318.5
"GR";"0762";2007;326.833333333333
"JU";"0762";2007;109.083333333333
"LU";"0762";2007;1790.75
"NE";"0762";2007;141.916666666667
"NW";"0762";2007;703.75
"OW";"0762";2007;554.666666666666
"SG";"0762";2007;2455.25
"SH";"0762";2007;182
"SO";"0762";2007;1064.41666666667
"SZ";"0762";2007;1454.25
"TG";"0762";2007;1328.41666666667
"TI";"0762";2007;1214.41666666667
"UR";"0762";2007;381.25
"VD";"0762";2007;1124.25
"VS";"0762";2007;223.333333333333
"ZG";"0762";2007;562.25
"ZH";"0762";2007;4576.83333333333
"AG";"0774";2007;14.08
"AR";"0774";2007;0.25
"BE";"0774";2007;89.08
"BL";"0774";2007;13
"BS";"0774";2007;1.08
"FR";"0774";2007;2221.02
"GE";"0774";2007;68.48
"GL";"0774";2007;1
"GR";"0774";2007;25.42
"JU";"0774";2007;7.34
"LU";"0774";2007;14.92
"NE";"0774";2007;21.07
"SG";"0774";2007;6.07
"SH";"0774";2007;16.84
"SO";"0774";2007;33.58
"SZ";"0774";2007;40.5
"TG";"0774";2007;10
"TI";"0774";2007;14.33
"VD";"0774";2007;866.45
"VS";"0774";2007;13724.51
"ZG";"0774";2007;18.25
"ZH";"0774";2007;588.77
"GL";"0780";2007;3753
"GR";"0780";2007;29
"SG";"0780";2007;124
"SZ";"0780";2007;60
"UR";"0780";2007;2
"VS";"0790";2007;1514
"GR";"0820";2007;2720
"AG";"0829";2007;510.66
"AR";"0829";2007;1
"BE";"0829";2007;1715.83
"BL";"0829";2007;72.91
"BS";"0829";2007;44.09
"FR";"0829";2007;52.25
"GE";"0829";2007;115.66
"GL";"0829";2007;21.67
"GR";"0829";2007;37.9
"JU";"0829";2007;22
"LU";"0829";2007;989.37
"NE";"0829";2007;5.58
"NW";"0829";2007;31.58
"OW";"0829";2007;44.17
"SG";"0829";2007;7.24
"SH";"0829";2007;329.3
"SO";"0829";2007;37.25
"SZ";"0829";2007;161.5
"TG";"0829";2007;140.16
"TI";"0829";2007;46.88
"UR";"0829";2007;8
"VD";"0829";2007;88.59
"VS";"0829";2007;23.59
"ZG";"0829";2007;3383.42
"ZH";"0829";2007;8475.84
"AG";"0881";2007;14790.99
"AI";"0881";2007;148.91
"AR";"0881";2007;2427.15
"BE";"0881";2007;24585.67
"BL";"0881";2007;6425.26
"BS";"0881";2007;1225.09
"FR";"0881";2007;2332.75
"GE";"0881";2007;1846.9
"GL";"0881";2007;233.58
"GR";"0881";2007;3640.41
"JU";"0881";2007;4218.1
"LU";"0881";2007;5377.48
"NE";"0881";2007;503.6
"NW";"0881";2007;589
"OW";"0881";2007;428.9
"SG";"0881";2007;10098.08
"SH";"0881";2007;2130.08
"SO";"0881";2007;7178.15
"SZ";"0881";2007;1812.84
"TG";"0881";2007;3868.92
"TI";"0881";2007;6461.41
"UR";"0881";2007;183.74
"VD";"0881";2007;5350.9
"VS";"0881";2007;1380.78
"ZG";"0881";2007;2490.84
"ZH";"0881";2007;30877.17
"VS";"0895";2007;813
"GR";"0901";2007;2429
"AG";"0923";2007;856
"AI";"0923";2007;14
"AR";"0923";2007;212
"BE";"0923";2007;2215
"BL";"0923";2007;1354
"BS";"0923";2007;303
"FR";"0923";2007;108
"GL";"0923";2007;72
"GR";"0923";2007;240
"LU";"0923";2007;85
"NW";"0923";2007;21
"OW";"0923";2007;14
"SG";"0923";2007;727
"SH";"0923";2007;116
"SO";"0923";2007;142
"SZ";"0923";2007;110
"TG";"0923";2007;1813
"UR";"0923";2007;12
"ZG";"0923";2007;58
"ZH";"0923";2007;5209
"VS";"0941";2007;14770
"AG";"0966";2007;25
"AR";"0966";2007;5
"BE";"0966";2007;15
"BL";"0966";2007;13
"BS";"0966";2007;2
"GL";"0966";2007;9
"GR";"0966";2007;5958
"JU";"0966";2007;1
"LU";"0966";2007;26
"SG";"0966";2007;89
"SH";"0966";2007;3
"SO";"0966";2007;6
"SZ";"0966";2007;12
"TG";"0966";2007;19
"TI";"0966";2007;6
"UR";"0966";2007;3
"VD";"0966";2007;1
"VS";"0966";2007;1
"ZG";"0966";2007;12
"ZH";"0966";2007;96
"VS";"0979";2007;2279
"AG";"0994";2007;36992.333331603
"AI";"0994";2007;236.666666674
"AR";"0994";2007;989.916666754
"BE";"0994";2007;51450.499999877
"BL";"0994";2007;7521.833333316
"BS";"0994";2007;3013.58333354
"FR";"0994";2007;4517.24999996
"GE";"0994";2007;8544.24999969
"GL";"0994";2007;2001.74999993
"GR";"0994";2007;12288.916666707
"JU";"0994";2007;535.500000003
"LU";"0994";2007;21509.666666963
"NE";"0994";2007;16218.9166666
"NW";"0994";2007;989.75000004
"OW";"0994";2007;874.33333333
"SG";"0994";2007;20471.583333507
"SH";"0994";2007;8379.833333414
"SO";"0994";2007;3116.33333344
"SZ";"0994";2007;1538.25000003
"TG";"0994";2007;9783.583333983
"TI";"0994";2007;8716.916666561
"UR";"0994";2007;2197.666666633
"VD";"0994";2007;17724.33333363
"VS";"0994";2007;9938.416666657
"ZG";"0994";2007;4517.916666667
"ZH";"0994";2007;58451.333333366
