"C_ID";"G_ID";"JAHR";"B"
"LU";"0263";2006;5551.12
"NE";"0263";2006;271.95
"NW";"0263";2006;318.68
"OW";"0263";2006;307.15
"SG";"0263";2006;97.43
"SH";"0263";2006;126.34
"SO";"0263";2006;111.25
"SZ";"0263";2006;78.82
"TG";"0263";2006;225.09
"TI";"0263";2006;491.17
"UR";"0263";2006;206.07
"VD";"0263";2006;47978.96
"VS";"0263";2006;2734.75
"ZG";"0263";2006;1498.23
"ZH";"0263";2006;721.94
"AG";"0290";2006;88819.9133333
"AI";"0290";2006;1251.416666744
"AR";"0290";2006;1814.08333335
"BE";"0290";2006;31268.086667047
"BL";"0290";2006;19277.496666397
"BS";"0290";2006;7230.16666691
"FR";"0290";2006;16681.170000287
"GE";"0290";2006;9684.66666673
"GL";"0290";2006;3664.083333437
"GR";"0290";2006;6559.749999914
"JU";"0290";2006;5547.749999863
"LU";"0290";2006;92358.1866663
"NE";"0290";2006;1815.49999997
"NW";"0290";2006;11270.249999973
"OW";"0290";2006;9037.50000009
"SG";"0290";2006;34597.74333343
"SH";"0290";2006;4403.666666547
"SO";"0290";2006;13311.24666653
"SZ";"0290";2006;23752.0100001
"TG";"0290";2006;14997.25666676
"TI";"0290";2006;13720.586666633
"UR";"0290";2006;9687.1633334
"VD";"0290";2006;6427.91666664
"VS";"0290";2006;9184.916666643
"ZG";"0290";2006;19373.8333336
"ZH";"0290";2006;72615.18000016
"LU";"0294";2006;8866
"AG";"0312";2006;18124.09
"AI";"0312";2006;67.67
"AR";"0312";2006;1468.51
"BE";"0312";2006;19138.52
"BL";"0312";2006;9014.99
"BS";"0312";2006;3582.4
"FR";"0312";2006;4138.5
"GE";"0312";2006;2003.35
"GL";"0312";2006;1362.41
"GR";"0312";2006;1210.05
"JU";"0312";2006;1008.17
"LU";"0312";2006;7982.93
"NE";"0312";2006;1786.1
"NW";"0312";2006;455.44
"OW";"0312";2006;452.84
"SG";"0312";2006;9431.84
"SH";"0312";2006;2995.65
"SO";"0312";2006;11840.41
"SZ";"0312";2006;3871.07
"TG";"0312";2006;7899.58
"TI";"0312";2006;13625.92
"UR";"0312";2006;2098.67
"VD";"0312";2006;10765.24
"VS";"0312";2006;7911.3
"ZG";"0312";2006;2347.76
"ZH";"0312";2006;26010.23
"AG";"0343";2006;11686.93
"AI";"0343";2006;39.25
"AR";"0343";2006;271.66
"BE";"0343";2006;30435.13
"BL";"0343";2006;5779.8
"BS";"0343";2006;6665.17
"FR";"0343";2006;10621.42
"GE";"0343";2006;8028.23
"GL";"0343";2006;2218.35
"GR";"0343";2006;586
"JU";"0343";2006;180.62
"LU";"0343";2006;229.89
"NE";"0343";2006;373.46
"NW";"0343";2006;26.57
"OW";"0343";2006;21.58
"SG";"0343";2006;1417.1
"SH";"0343";2006;1744.47
"SO";"0343";2006;1251.82
"SZ";"0343";2006;103.96
"TG";"0343";2006;335.51
"TI";"0343";2006;1309.23
"UR";"0343";2006;4.25
"VD";"0343";2006;3068.35
"VS";"0343";2006;966.9
"ZG";"0343";2006;77.49
"ZH";"0343";2006;2477.23
"AG";"0360";2006;1752.90684
"BE";"0360";2006;1736.997236
"LU";"0360";2006;9455.63833
"NW";"0360";2006;60.008218
"OW";"0360";2006;33.005475
"SO";"0360";2006;534.112323
"SZ";"0360";2006;52.410956
"UR";"0360";2006;7.676712
"ZG";"0360";2006;133.849313
"ZH";"0360";2006;992.89861
"AG";"0376";2006;9423
"AI";"0376";2006;248
"AR";"0376";2006;1332
"BE";"0376";2006;82698
"BL";"0376";2006;7008
"BS";"0376";2006;2587
"FR";"0376";2006;13462
"GE";"0376";2006;16199
"GL";"0376";2006;487
"GR";"0376";2006;9420
"JU";"0376";2006;1159
"LU";"0376";2006;9182
"NE";"0376";2006;1349
"NW";"0376";2006;2584
"OW";"0376";2006;812
"SG";"0376";2006;16018
"SH";"0376";2006;1441
"SO";"0376";2006;8683
"SZ";"0376";2006;1817
"TG";"0376";2006;3807
"TI";"0376";2006;28728
"UR";"0376";2006;1253
"VD";"0376";2006;29375
"VS";"0376";2006;11361
"ZG";"0376";2006;2116
"ZH";"0376";2006;36476
"AG";"0411";2006;6808
"AI";"0411";2006;44
"AR";"0411";2006;122
"BE";"0411";2006;2154
"BL";"0411";2006;259
"BS";"0411";2006;221
"FR";"0411";2006;267
"GE";"0411";2006;74
"GL";"0411";2006;211
"GR";"0411";2006;290
"JU";"0411";2006;23
"LU";"0411";2006;15208
"NE";"0411";2006;7
"NW";"0411";2006;1291
"OW";"0411";2006;1029
"SG";"0411";2006;568
"SH";"0411";2006;141
"SO";"0411";2006;557
"SZ";"0411";2006;1985
"TG";"0411";2006;335
"TI";"0411";2006;133
"UR";"0411";2006;1707
"VD";"0411";2006;69
"VS";"0411";2006;99
"ZG";"0411";2006;6057
"ZH";"0411";2006;1176
"AG";"0445";2006;2244.68
"AI";"0445";2006;5
"AR";"0445";2006;76.85
"BE";"0445";2006;2462.52
"BL";"0445";2006;7185.55
"BS";"0445";2006;7975.46
"FR";"0445";2006;2007.51
"GE";"0445";2006;2165.89
"GL";"0445";2006;84.33
"GR";"0445";2006;1216.33
"JU";"0445";2006;526.65
"LU";"0445";2006;261.68
"NE";"0445";2006;7834.55
"NW";"0445";2006;30.09
"OW";"0445";2006;12.55
"SG";"0445";2006;907.21
"SH";"0445";2006;77
"SO";"0445";2006;795.47
"SZ";"0445";2006;1429.64
"TG";"0445";2006;547.47
"TI";"0445";2006;2486.45
"UR";"0445";2006;32.51
"VD";"0445";2006;2737.97
"VS";"0445";2006;1259.34
"ZG";"0445";2006;136.19
"ZH";"0445";2006;13063.59
"AG";"0455";2006;297.4
"AI";"0455";2006;34
"AR";"0455";2006;204.6
"BE";"0455";2006;98.6
"BL";"0455";2006;46.7
"BS";"0455";2006;30.8
"FR";"0455";2006;7.2
"GE";"0455";2006;10.1
"GL";"0455";2006;2381.5
"GR";"0455";2006;82508
"LU";"0455";2006;148.7
"NE";"0455";2006;1.3
"NW";"0455";2006;15.6
"OW";"0455";2006;28.7
"SG";"0455";2006;7446.9
"SH";"0455";2006;3106.6
"SO";"0455";2006;44
"SZ";"0455";2006;1960.2
"TG";"0455";2006;6920.5
"TI";"0455";2006;6842.1
"UR";"0455";2006;21.9
"VD";"0455";2006;24.1
"VS";"0455";2006;7.3
"ZG";"0455";2006;194.5
"ZH";"0455";2006;25728.1
"AG";"0484";2006;1303.12
"AI";"0484";2006;18.42
"AR";"0484";2006;570.36
"BE";"0484";2006;1095.04
"BL";"0484";2006;135.97
"BS";"0484";2006;302.49
"FR";"0484";2006;4889.37
"GE";"0484";2006;13.42
"GL";"0484";2006;129.17
"GR";"0484";2006;276.05
"JU";"0484";2006;21.59
"LU";"0484";2006;316.69
"NE";"0484";2006;42.92
"NW";"0484";2006;4.58
"OW";"0484";2006;4.42
"SG";"0484";2006;1154.82
"SH";"0484";2006;118.26
"SO";"0484";2006;330.09
"SZ";"0484";2006;165.93
"TG";"0484";2006;720.63
"TI";"0484";2006;1212.94
"UR";"0484";2006;10
"VD";"0484";2006;59.12
"VS";"0484";2006;26.18
"ZG";"0484";2006;105.33
"ZH";"0484";2006;10457.45
"AG";"0509";2006;10164.916666403
"AI";"0509";2006;7.000000001
"AR";"0509";2006;91.91666667
"BE";"0509";2006;787.749999992
"BL";"0509";2006;31191.250000083
"BS";"0509";2006;69253.5833309
