"C_ID";"G_ID";"JAHR";"B"
"BE";"0263";2009;535.1
"BL";"0263";2009;39.75
"BS";"0263";2009;41.4
"FR";"0263";2009;1964.46
"GE";"0263";2009;1380.78
"GL";"0263";2009;76.36
"GR";"0263";2009;38.32
"JU";"0263";2009;222.99
"LU";"0263";2009;4576.35
"NE";"0263";2009;230.95
"NW";"0263";2009;188.17
"OW";"0263";2009;191.98
"SG";"0263";2009;113.8
"SH";"0263";2009;74.42
"SO";"0263";2009;101.59
"SZ";"0263";2009;85.52
"TG";"0263";2009;150.58
"TI";"0263";2009;426.59
"UR";"0263";2009;254.5
"VD";"0263";2009;47159.29
"VS";"0263";2009;2306.2
"ZG";"0263";2009;2451.38
"ZH";"0263";2009;683.96
"AG";"0290";2009;87926.6666666666
"AI";"0290";2009;1281.41666666667
"AR";"0290";2009;1704.41666666667
"BE";"0290";2009;27316.9166666666
"BL";"0290";2009;17695.5
"BS";"0290";2009;6660.91666666666
"FR";"0290";2009;15967
"GE";"0290";2009;8883.58333333332
"GL";"0290";2009;3468.16666666666
"GR";"0290";2009;6599.08333333332
"JU";"0290";2009;5087.91666666667
"LU";"0290";2009;92793.1666666666
"NE";"0290";2009;3587.83333333334
"NW";"0290";2009;11692.1666666666
"OW";"0290";2009;9519.58333333333
"SG";"0290";2009;34765.9999999999
"SH";"0290";2009;4361.33333333333
"SO";"0290";2009;12015.5
"SZ";"0290";2009;23279
"TG";"0290";2009;14238.3333333333
"TI";"0290";2009;14759.9166666666
"UR";"0290";2009;8947.25
"VD";"0290";2009;7390.58333333333
"VS";"0290";2009;9279.49999999998
"ZG";"0290";2009;19423.4166666666
"ZH";"0290";2009;70245.2499999999
"AG";"0294";2009;11
"AR";"0294";2009;1
"BE";"0294";2009;12
"BL";"0294";2009;1
"FR";"0294";2009;1
"GL";"0294";2009;5
"LU";"0294";2009;4327
"NE";"0294";2009;19
"NW";"0294";2009;10
"OW";"0294";2009;273
"SG";"0294";2009;1
"SH";"0294";2009;1
"SO";"0294";2009;2
"SZ";"0294";2009;2
"VD";"0294";2009;2
"ZG";"0294";2009;14
"ZH";"0294";2009;17
"AG";"0312";2009;19173.3333333334
"AI";"0312";2009;81.8333333333333
"AR";"0312";2009;943.083333333333
"BE";"0312";2009;17340.1666666667
"BL";"0312";2009;8386.83333333333
"BS";"0312";2009;2785.08333333334
"FR";"0312";2009;4076.33333333333
"GE";"0312";2009;1586.41666666666
"GL";"0312";2009;1052.58333333333
"GR";"0312";2009;1520.25
"JU";"0312";2009;772.833333333333
"LU";"0312";2009;7085.58333333333
"NE";"0312";2009;1691.58333333333
"NW";"0312";2009;426.916666666666
"OW";"0312";2009;455.833333333334
"SG";"0312";2009;10036.0833333333
"SH";"0312";2009;2365.83333333333
"SO";"0312";2009;9650.41666666666
"SZ";"0312";2009;2979.75
"TG";"0312";2009;6904.25
"TI";"0312";2009;10674.75
"UR";"0312";2009;1504.25
"VD";"0312";2009;8895.5
"VS";"0312";2009;5386.91666666667
"ZG";"0312";2009;1689.33333333333
"ZH";"0312";2009;32379.1666666666
"AG";"0343";2009;12912.5
"AI";"0343";2009;34.01
"AR";"0343";2009;173.15
"BE";"0343";2009;21654.21
"BL";"0343";2009;8604.28
"BS";"0343";2009;9074.14
"FR";"0343";2009;8479.4
"GE";"0343";2009;17431.32
"GL";"0343";2009;2692
"GR";"0343";2009;372.4
"JU";"0343";2009;143
"LU";"0343";2009;527.91
"NE";"0343";2009;302.55
"NW";"0343";2009;26.09
"OW";"0343";2009;30.42
"SG";"0343";2009;3643.91
"SH";"0343";2009;795.49
"SO";"0343";2009;1084.38
"SZ";"0343";2009;127.58
"TG";"0343";2009;294.98
"TI";"0343";2009;1275.42
"UR";"0343";2009;7.66
"VD";"0343";2009;2633.46
"VS";"0343";2009;748.67
"ZG";"0343";2009;74.5
"ZH";"0343";2009;2540.59
"AG";"0360";2009;1363.08
"BE";"0360";2009;1509.3
"LU";"0360";2009;10724.48
"NW";"0360";2009;89.51
"OW";"0360";2009;45.34
"SO";"0360";2009;464.53
"SZ";"0360";2009;58.86
"UR";"0360";2009;9.17
"ZG";"0360";2009;145.91
"ZH";"0360";2009;856.82
"AG";"0376";2009;9224
"AI";"0376";2009;299
"AR";"0376";2009;1317
"BE";"0376";2009;81502
"BL";"0376";2009;7859
"BS";"0376";2009;2499
"FR";"0376";2009;13009
"GE";"0376";2009;13562
"GL";"0376";2009;506
"GR";"0376";2009;8194
"JU";"0376";2009;907
"LU";"0376";2009;9850
"NE";"0376";2009;1160
"NW";"0376";2009;2691
"OW";"0376";2009;462
"SG";"0376";2009;17332
"SH";"0376";2009;1216
"SO";"0376";2009;7318
"SZ";"0376";2009;2237
"TG";"0376";2009;3715
"TI";"0376";2009;29334
"UR";"0376";2009;1597
"VD";"0376";2009;24996
"VS";"0376";2009;10171
"ZG";"0376";2009;2261
