"C_ID";"G_ID";"JAHR";"B"
"BE";"0246";2008;7269
"SO";"0246";2008;255
"ZH";"0246";2008;304
"AG";"0261";2008;243.91
"AI";"0261";2008;44.09
"AR";"0261";2008;416.01
"BE";"0261";2008;226.43
"BL";"0261";2008;31.42
"BS";"0261";2008;40.43
"GL";"0261";2008;38.6
"GR";"0261";2008;94.08
"LU";"0261";2008;62.58
"NW";"0261";2008;6.82
"OW";"0261";2008;4.01
"SG";"0261";2008;2823.01
"SH";"0261";2008;5320.18
"SO";"0261";2008;44.4
"SZ";"0261";2008;31.33
"TG";"0261";2008;10800.39
"UR";"0261";2008;4.5
"ZG";"0261";2008;16.09
"ZH";"0261";2008;1031.53
"AG";"0263";2008;308.98
"AI";"0263";2008;1
"AR";"0263";2008;21.16
"BE";"0263";2008;663.33
"BL";"0263";2008;48.34
"BS";"0263";2008;53.83
"FR";"0263";2008;2197.38
"GE";"0263";2008;1607.99
"GL";"0263";2008;79.01
"GR";"0263";2008;35.4
"JU";"0263";2008;240.51
"LU";"0263";2008;4876.31
"NE";"0263";2008;243.84
"NW";"0263";2008;236.16
"OW";"0263";2008;237.26
"SG";"0263";2008;86.02
"SH";"0263";2008;86.74
"SO";"0263";2008;104.58
"SZ";"0263";2008;85.19
"TG";"0263";2008;174.16
"TI";"0263";2008;448.15
"UR";"0263";2008;223.93
"VD";"0263";2008;53261.96
"VS";"0263";2008;2545.75
"ZG";"0263";2008;2163.07
"ZH";"0263";2008;689.7
"AG";"0290";2008;88088.4166666666
"AI";"0290";2008;1243.75
"AR";"0290";2008;1792
"BE";"0290";2008;28890.4166666666
"BL";"0290";2008;18433.8333333333
"BS";"0290";2008;6949.99999999999
"FR";"0290";2008;16354.6666666666
"GE";"0290";2008;9010.08333333332
"GL";"0290";2008;3548.99999999999
"GR";"0290";2008;6464.58333333333
"JU";"0290";2008;5151.83333333333
"LU";"0290";2008;94081.5833333332
"NE";"0290";2008;2410
"NW";"0290";2008;11578
"OW";"0290";2008;9449.41666666666
"SG";"0290";2008;35088.5833333333
"SH";"0290";2008;4343.58333333332
"SO";"0290";2008;12474.9166666667
"SZ";"0290";2008;23812.9166666667
"TG";"0290";2008;14232.5
"TI";"0290";2008;14353.75
"UR";"0290";2008;9357.66666666666
"VD";"0290";2008;6134.16666666665
"VS";"0290";2008;9167.74999999999
"ZG";"0290";2008;19484.1666666667
"ZH";"0290";2008;71661.9166666666
"LU";"0294";2008;5248
"AG";"0312";2008;19801.8333333333
"AI";"0312";2008;71.4166666666666
