"fophNumber"	"version"	"ohiZone"	"insuredStock"
"0182"	"4"	"756.09"	"144"
"0182"	"4"	"756.01"	"39610"
"0194"	"4"	"756.19"	"503"
"0194"	"4"	"756.16"	"5"
"0194"	"4"	"756.15"	"18"
"0194"	"4"	"756.02"	"21628"
"0194"	"4"	"756.13"	"215"
"0194"	"4"	"756.12"	"75"
"0194"	"4"	"756.10"	"225"
"0194"	"4"	"756.08"	"9"
"0194"	"4"	"756.18"	"53"
"0194"	"4"	"756.03"	"154"
"0194"	"4"	"756.07"	"10"
"0194"	"4"	"756.06"	"10"
"0194"	"4"	"756.17"	"75"
"0194"	"4"	"756.14"	"46"
"0194"	"4"	"756.11"	"588"
"0194"	"4"	"756.05"	"67"
"0194"	"4"	"756.20"	"97"
"0194"	"4"	"756.04"	"9"
"0194"	"4"	"756.23"	"41"
"0194"	"4"	"756.09"	"40"
"0194"	"4"	"756.01"	"792"
"0216"	"4"	"756.19"	"1"
"0216"	"4"	"756.02"	"6"
"0216"	"4"	"756.12"	"1"
"0216"	"4"	"756.10"	"31"
"0216"	"4"	"756.25"	"17"
"0216"	"4"	"756.08"	"10"
"0216"	"4"	"756.24"	"9"
"0216"	"4"	"756.17"	"2"
"0216"	"4"	"756.05"	"1"
"0216"	"4"	"756.21"	"2"
"0216"	"4"	"756.22"	"673"
"0216"	"4"	"756.23"	"1098"
"0216"	"4"	"756.09"	"0"
"0216"	"4"	"756.01"	"1"
"0246"	"4"	"756.19"	"684"
"0246"	"4"	"756.02"	"7899"
"0246"	"4"	"756.11"	"412"
"0246"	"4"	"756.01"	"754"
"0263"	"4"	"756.19"	"281"
"0263"	"4"	"756.16"	"3"
"0263"	"4"	"756.15"	"14"
"0263"	"4"	"756.02"	"535"
"0263"	"4"	"756.13"	"40"
"0263"	"4"	"756.12"	"41"
"0263"	"4"	"756.10"	"1964"
"0263"	"4"	"756.25"	"1381"
"0263"	"4"	"756.08"	"76"
"0263"	"4"	"756.18"	"38"
"0263"	"4"	"756.26"	"223"
"0263"	"4"	"756.03"	"4576"
"0263"	"4"	"756.24"	"231"
"0263"	"4"	"756.07"	"188"
"0263"	"4"	"756.06"	"192"
"0263"	"4"	"756.17"	"114"
"0263"	"4"	"756.14"	"74"
"0263"	"4"	"756.11"	"102"
"0263"	"4"	"756.05"	"86"
"0263"	"4"	"756.20"	"151"
"0263"	"4"	"756.21"	"427"
"0263"	"4"	"756.04"	"255"
"0263"	"4"	"756.22"	"47159"
"0263"	"4"	"756.23"	"2306"
"0263"	"4"	"756.09"	"2451"
"0263"	"4"	"756.01"	"684"
"0290"	"4"	"756.19"	"87927"
"0290"	"4"	"756.16"	"1281"
"0290"	"4"	"756.15"	"1704"
"0290"	"4"	"756.02"	"27317"
"0290"	"4"	"756.13"	"17696"
