"fophNumber"	"version"	"ohiZone"	"insuredStock"
"0290"	"5"	"756.16"	"1436"
"0290"	"5"	"756.15"	"1554"
"0290"	"5"	"756.02"	"25716"
"0290"	"5"	"756.13"	"17030"
"0290"	"5"	"756.12"	"6455"
"0290"	"5"	"756.10"	"16181"
"0290"	"5"	"756.25"	"9257"
"0290"	"5"	"756.08"	"3269"
"0290"	"5"	"756.18"	"6725"
"0290"	"5"	"756.26"	"4717"
"0290"	"5"	"756.03"	"92320"
"0290"	"5"	"756.24"	"6385"
"0290"	"5"	"756.07"	"11675"
"0290"	"5"	"756.06"	"9690"
"0290"	"5"	"756.17"	"34850"
"0290"	"5"	"756.14"	"4305"
"0290"	"5"	"756.11"	"11678"
"0290"	"5"	"756.05"	"23068"
"0290"	"5"	"756.20"	"14364"
"0290"	"5"	"756.21"	"15236"
"0290"	"5"	"756.04"	"8825"
"0290"	"5"	"756.22"	"16693"
"0290"	"5"	"756.23"	"9779"
"0290"	"5"	"756.09"	"19702"
"0290"	"5"	"756.01"	"68317"
"0294"	"5"	"756.19"	"150"
"0294"	"5"	"756.16"	"1"
"0294"	"5"	"756.15"	"9"
"0294"	"5"	"756.02"	"104"
"0294"	"5"	"756.13"	"243"
"0294"	"5"	"756.12"	"9"
"0294"	"5"	"756.10"	"38"
"0294"	"5"	"756.08"	"2"
"0294"	"5"	"756.18"	"20"
"0294"	"5"	"756.26"	"5"
"0294"	"5"	"756.03"	"3841"
"0294"	"5"	"756.24"	"36"
"0294"	"5"	"756.07"	"66"
"0294"	"5"	"756.06"	"385"
"0294"	"5"	"756.17"	"11"
"0294"	"5"	"756.14"	"1"
"0294"	"5"	"756.11"	"10"
"0294"	"5"	"756.05"	"27"
"0294"	"5"	"756.20"	"97"
"0294"	"5"	"756.21"	"4"
"0294"	"5"	"756.04"	"27"
"0294"	"5"	"756.22"	"5"
"0294"	"5"	"756.23"	"107"
"0294"	"5"	"756.09"	"32"
"0294"	"5"	"756.01"	"105"
"0312"	"5"	"756.19"	"14792"
"0312"	"5"	"756.16"	"70"
"0312"	"5"	"756.15"	"635"
"0312"	"5"	"756.02"	"16789"
"0312"	"5"	"756.13"	"6545"
"0312"	"5"	"756.12"	"2036"
"0312"	"5"	"756.10"	"4296"
"0312"	"5"	"756.25"	"1363"
"0312"	"5"	"756.08"	"615"
"0312"	"5"	"756.18"	"1476"
"0312"	"5"	"756.26"	"696"
"0312"	"5"	"756.03"	"6912"
"0312"	"5"	"756.24"	"1274"
"0312"	"5"	"756.07"	"373"
"0312"	"5"	"756.06"	"409"
"0312"	"5"	"756.17"	"9720"
"0312"	"5"	"756.14"	"1519"
"0312"	"5"	"756.11"	"6953"
"0312"	"5"	"756.05"	"2266"
"0312"	"5"	"756.20"	"5128"
"0312"	"5"	"756.21"	"10085"
"0312"	"5"	"756.04"	"1356"
"0312"	"5"	"756.22"	"6952"
"0312"	"5"	"756.23"	"4364"
"0312"	"5"	"756.09"	"1222"
"0312"	"5"	"756.01"	"41276"
"0343"	"5"	"756.19"	"22552"
"0343"	"5"	"756.16"	"28"
"0343"	"5"	"756.15"	"159"
"0343"	"5"	"756.02"	"18456"
"0343"	"5"	"756.13"	"7788"
"0343"	"5"	"756.12"	"8367"
"0343"	"5"	"756.10"	"9399"
"0343"	"5"	"756.25"	"17244"
"0343"	"5"	"756.08"	"2784"
"0343"	"5"	"756.18"	"3018"
"0343"	"5"	"756.26"	"331"
"0343"	"5"	"756.03"	"6505"
"0343"	"5"	"756.24"	"539"
"0343"	"5"	"756.07"	"171"
"0343"	"5"	"756.06"	"173"
"0343"	"5"	"756.17"	"9030"
"0343"	"5"	"756.14"	"692"
"0343"	"5"	"756.11"	"1070"
"0343"	"5"	"756.05"	"201"
"0343"	"5"	"756.20"	"394"
"0343"	"5"	"756.21"	"1628"
"0343"	"5"	"756.04"	"346"
"0343"	"5"	"756.22"	"44464"
"0343"	"5"	"756.23"	"2660"
"0343"	"5"	"756.09"	"3036"
"0343"	"5"	"756.01"	"3022"
"0360"	"5"	"756.19"	"1382"
"0360"	"5"	"756.02"	"1559"
"0360"	"5"	"756.03"	"12128"
"0360"	"5"	"756.07"	"79"
"0360"	"5"	"756.06"	"42"
"0360"	"5"	"756.11"	"636"
