"fophNumber"	"version"	"ohiZone"	"insuredStock"
"0182"	"3"	"756.09"	"128"
"0182"	"3"	"756.01"	"39821"
"0194"	"3"	"756.19"	"411"
"0194"	"3"	"756.16"	"4"
"0194"	"3"	"756.15"	"17"
"0194"	"3"	"756.02"	"20528"
"0194"	"3"	"756.13"	"182"
"0194"	"3"	"756.12"	"55"
"0194"	"3"	"756.10"	"185"
"0194"	"3"	"756.08"	"10"
"0194"	"3"	"756.18"	"47"
"0194"	"3"	"756.03"	"135"
"0194"	"3"	"756.07"	"8"
"0194"	"3"	"756.06"	"13"
"0194"	"3"	"756.17"	"78"
"0194"	"3"	"756.14"	"36"
"0194"	"3"	"756.11"	"538"
"0194"	"3"	"756.05"	"56"
"0194"	"3"	"756.20"	"77"
"0194"	"3"	"756.04"	"7"
"0194"	"3"	"756.23"	"36"
"0194"	"3"	"756.09"	"38"
"0194"	"3"	"756.01"	"782"
"0216"	"3"	"756.19"	"1"
"0216"	"3"	"756.02"	"4"
"0216"	"3"	"756.13"	"0"
"0216"	"3"	"756.12"	"1"
"0216"	"3"	"756.10"	"32"
"0216"	"3"	"756.25"	"23"
"0216"	"3"	"756.08"	"11"
"0216"	"3"	"756.24"	"10"
"0216"	"3"	"756.17"	"2"
"0216"	"3"	"756.21"	"3"
"0216"	"3"	"756.22"	"688"
"0216"	"3"	"756.23"	"1158"
"0216"	"3"	"756.01"	"2"
"0246"	"3"	"756.19"	"436"
"0246"	"3"	"756.02"	"7269"
"0246"	"3"	"756.11"	"255"
"0246"	"3"	"756.01"	"304"
"0261"	"3"	"756.19"	"244"
"0261"	"3"	"756.16"	"44"
"0261"	"3"	"756.15"	"416"
"0261"	"3"	"756.02"	"226"
"0261"	"3"	"756.13"	"31"
"0261"	"3"	"756.12"	"40"
"0261"	"3"	"756.08"	"39"
"0261"	"3"	"756.18"	"94"
"0261"	"3"	"756.03"	"63"
"0261"	"3"	"756.07"	"7"
"0261"	"3"	"756.06"	"4"
"0261"	"3"	"756.17"	"2823"
"0261"	"3"	"756.14"	"5320"
"0261"	"3"	"756.11"	"44"
"0261"	"3"	"756.05"	"31"
"0261"	"3"	"756.20"	"10800"
"0261"	"3"	"756.04"	"5"
"0261"	"3"	"756.09"	"16"
"0261"	"3"	"756.01"	"1032"
"0263"	"3"	"756.19"	"309"
"0263"	"3"	"756.16"	"1"
"0263"	"3"	"756.15"	"21"
"0263"	"3"	"756.02"	"663"
"0263"	"3"	"756.13"	"48"
"0263"	"3"	"756.12"	"54"
"0263"	"3"	"756.10"	"2197"
"0263"	"3"	"756.25"	"1608"
"0263"	"3"	"756.08"	"79"
"0263"	"3"	"756.18"	"35"
"0263"	"3"	"756.26"	"241"
"0263"	"3"	"756.03"	"4876"
"0263"	"3"	"756.24"	"244"
